,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
486,595,escape from alcatraz,8,14,22,32
487,596,the taking of pelham one two three,8,19,16,26
488,597,enter the dragon,8,19,18,2
489,598,where eagles dare,8,6,9,33
490,599,tanhaji: the unsung warrior,8,14,18,28
491,600,upgrade,8,0,16,29
492,601,fury,8,16,9,71
493,602,the hunger games: catching fire,8,6,18,137
494,603,delhi belly,8,5,22,41
495,604,waar,8,19,18,2
496,605,hodejegerne,8,19,16,26
497,606,jûsan-nin no shikaku,8,6,18,137
498,607,yip man 2,8,14,18,28
499,608,l'instinct de mort,8,14,22,32
500,609,doctor strange,8,6,2,6
501,610,retfærdighedens ryttere,8,5,18,61
502,611,lone survivor,8,14,18,28
503,612,source code,8,16,19,84
504,613,grindhouse,8,9,16,34
505,614,dalkomhan insaeng,8,19,18,2
506,615,jodhaa akbar,8,16,8,5
507,616,scott pilgrim vs. the world,8,5,2,83
508,617,munich,8,16,8,5
509,618,shi mian mai fu,8,6,18,137
510,619,harry potter and the order of the phoenix,8,6,20,89
511,620,collateral,8,19,18,2
512,621,la vita è bella,1,16,3,7
513,622,gisaengchung,1,16,16,4
514,623,the intouchables,3,5,18,75
515,624,back to the future,4,5,0,40
516,625,modern times,1,16,3,7
517,626,city lights,1,16,3,7
518,628,coco,5,6,6,12
519,629,the great dictator,1,16,9,36
520,630,up,5,6,6,12
521,631,toy story 3,5,6,6,12
522,632,toy story,5,6,6,12
523,633,the sting,1,19,18,13
524,634,the apartment,1,16,3,7
525,635,singin' in the rain,1,12,3,60
526,636,the kid,1,16,20,172
527,637,chhichhore,1,16,3,7
528,638,andhadhun,1,19,11,65
529,639,green book,3,5,18,75
530,641,inside out,5,6,6,12
531,643,the wolf of wall street,3,5,22,100
532,644,finding nemo,5,6,6,12
533,646,monty python and the holy grail,4,5,2,121
534,647,some like it hot,1,8,3,44
535,648,to be or not to be,1,3,9,96
536,650,the gold rush,4,5,18,19
537,652,dil bechara,1,16,3,7
538,653,"three billboards outside ebbing, missouri",1,19,18,13
539,654,klaus,5,6,6,12
540,656,queen,4,5,18,19
541,657,relatos salvajes,1,16,16,4
542,658,pk,1,16,0,131
543,659,omg: oh my god!,1,16,2,46
544,660,the grand budapest hotel,4,5,22,38
545,661,barfi!,1,16,3,7
546,662,zindagi na milegi dobara,1,16,13,72
547,663,mary and max.,5,5,18,165
548,665,rang de basanti,1,19,18,13
549,666,ratatouille,5,6,6,12
550,667,dil chahta hai,1,16,3,7
551,668,her sey çok güzel olacak,1,16,16,4
552,670,"monsters, inc.",5,6,6,12
